DATE,CLOSE,VOLUME
2017.01.19,29.94,448546120000
2017.01.20,30.00,522707480000
2017.01.23,30.02,484666320000
2017.01.24,29.99,557344720000
2017.01.25,30.48,733803520000
2017.01.26,30.48,485746160000
2017.01.27,30.43,454535080000
2017.01.30,30.40,688642400000
2017.01.31,30.33,996408440000
2017.02.01,32.19,2479542280000
2017.02.02,32.13,717073280000
2017.02.03,32.27,517258680000
2017.02.06,32.58,632598120000
2017.02.07,32.88,842648840000
2017.02.08,33.01,507716000000
2017.02.09,33.10,534014360000
2017.02.10,33.03,437227560000
2017.02.13,33.33,518706320000
2017.02.14,33.75,707892680000
2017.02.15,33.88,818588960000
2017.02.16,33.84,506752520000
2017.02.17,33.93,421200840000
2017.02.21,34.17,482018840000
2017.02.22,34.28,421952600000
2017.02.23,34.13,456352640000
2017.02.24,34.17,449706760000
2017.02.27,34.24,441770080000
2017.02.28,34.25,452454960000
2017.03.01,34.95,814100880000
2017.03.02,34.74,573037880000
2017.03.03,34.94,408705920000
2017.03.06,34.83,422424640000
2017.03.07,34.87,371916560000
2017.03.08,34.76,385775920000
2017.03.09,34.67,463857520000
2017.03.10,34.79,399706160000
2017.03.13,34.81,270152120000
2017.03.14,34.75,232192360000
2017.03.15,35.11,440333560000
2017.03.16,35.18,282873600000
2017.03.17,35.01,422055360000
2017.03.20,35.37,367892680000
2017.03.21,34.95,677081680000
2017.03.22,35.31,389489160000
2017.03.23,35.21,339222360000
2017.03.24,35.04,333079800000
2017.03.27,35.22,492042320000
2017.03.28,35.95,764741880000
2017.03.29,36.03,667372040000
2017.03.30,35.98,462508160000
2017.03.31,35.92,390683200000
2017.04.03,35.93,415184760000
2017.04.04,36.19,459273840000
2017.04.05,36.01,590067760000
2017.04.06,35.92,448508000000
2017.04.07,35.84,339250720000
2017.04.10,35.79,375945920000
2017.04.11,35.41,697853280000
2017.04.12,35.45,417928360000
2017.04.13,35.27,368163560000
2017.04.17,35.46,332859920000
2017.04.18,35.30,294175680000
2017.04.19,35.17,336476280000
2017.04.20,35.61,497722600000
2017.04.21,35.57,330062720000
2017.04.24,35.91,335327680000
2017.04.25,36.13,394710600000
2017.04.26,35.92,408420680000
2017.04.27,35.95,259115320000
2017.04.28,35.91,371004000000
2017.05.01,36.66,735034360000
2017.05.02,36.87,907391880000
2017.05.03,36.77,1036840760000
2017.05.04,36.63,509876600000
2017.05.05,37.24,656657880000
2017.05.08,38.25,1211123920000
2017.05.09,38.50,874518880000
2017.05.10,38.32,589513400000
2017.05.11,38.49,517092400000
2017.05.12,39.03,828336960000
2017.05.15,38.92,533871560000
2017.05.16,38.87,452079080000
2017.05.17,37.55,1122185600000
2017.05.18,38.13,780739240000
2017.05.19,38.26,516080400000
2017.05.22,38.49,532343960000
2017.05.23,38.45,434088520000
2017.05.24,38.33,434790800000
2017.05.25,38.47,455470160000
2017.05.26,38.41,343552360000
2017.05.30,38.42,390630000000
2017.05.31,38.19,420408760000
2017.06.01,38.30,321259440000
2017.06.02,38.87,597250360000
2017.06.05,38.48,611214200000
2017.06.06,38.62,589171320000
2017.06.07,38.84,475343160000
2017.06.08,38.73,373317000000
2017.06.09,37.24,1440833800000
2017.06.12,36.35,1645955040000
2017.06.13,36.64,692476600000
2017.06.14,36.29,659843240000
2017.06.15,36.08,697118560000
2017.06.16,35.57,632050280000
2017.06.19,36.60,693684280000
2017.06.20,36.25,481724400000
2017.06.21,36.47,385322040000
2017.06.22,36.41,352393280000
2017.06.23,36.57,405491040000
2017.06.26,36.46,554435400000
2017.06.27,35.99,478605560000
2017.06.28,36.46,460454920000
2017.06.29,35.92,641581680000
2017.06.30,36.01,365223160000
2017.07.03,35.89,249932040000
2017.07.05,36.01,396867640000
2017.07.06,35.68,458663200000
2017.07.07,36.04,367827600000
2017.07.10,36.27,412070000000
2017.07.11,36.39,378484720000
2017.07.12,36.44,494696120000
2017.07.13,36.95,596086440000
2017.07.14,37.26,454041240000
2017.07.17,37.40,520206440000
2017.07.18,37.53,383049200000
2017.07.19,37.76,422749520000
2017.07.20,37.59,331793520000
2017.07.21,37.58,400875480000
2017.07.24,38.03,409342000000
2017.07.25,38.19,378520640000
2017.07.26,38.38,312237160000
2017.07.27,37.64,698963960000
2017.07.28,37.37,347644680000
2017.07.31,37.20,392287200000
2017.08.01,37.52,595131360000
2017.08.02,39.29,1624854800000
2017.08.03,38.88,613651360000
2017.08.04,39.09,463143360000
2017.08.07,39.70,492456760000
2017.08.08,40.03,875165920000
2017.08.09,40.27,601272760000
2017.08.10,38.83,886094080000
2017.08.11,39.37,581787000000
2017.08.14,39.95,456920760000
2017.08.15,40.41,693308120000
2017.08.16,40.24,627624280000
2017.08.17,39.47,570514360000
2017.08.18,39.38,567972120000
2017.08.21,39.29,586468200000
2017.08.22,39.95,466424400000
2017.08.23,40.00,408891760000
2017.08.24,39.82,421883560000
2017.08.25,39.97,479429480000
2017.08.28,40.37,553199960000
2017.08.29,40.73,712508000000
2017.08.30,40.83,627471920000
2017.08.31,40.99,569082800000
2017.09.01,41.01,404028800000
2017.09.05,40.52,666904800000
2017.09.06,40.48,468109000000
2017.09.07,40.32,478405520000
2017.09.08,39.66,589663680000
2017.09.11,40.37,655167440000
2017.09.12,40.22,1820896520000
2017.09.13,39.91,1040012120000
2017.09.14,39.56,475594360000
2017.09.15,39.97,675477560000
2017.09.18,39.66,578140280000
2017.09.19,39.68,412530120000
2017.09.20,39.01,1218697240000
2017.09.21,38.35,857929120000
2017.09.22,37.95,1172967840000
2017.09.25,37.64,1032663360000
2017.09.26,38.31,821630480000
2017.09.27,38.56,548837480000
2017.09.28,38.32,487731680000
2017.09.29,38.51,563439240000
2017.10.02,38.45,446084360000
2017.10.03,38.62,402655480000
2017.10.04,38.36,475077840000
2017.10.05,38.85,492432040000
2017.10.06,38.82,388185120000
2017.10.09,38.96,376731760000
2017.10.10,38.98,358767320000
2017.10.11,39.14,375001800000
2017.10.12,39.00,382050120000
2017.10.13,39.25,375469000000
2017.10.16,39.97,567300720000
2017.10.17,40.11,486290400000
2017.10.18,39.94,390107360000
2017.10.19,38.99,932709600000
2017.10.20,39.06,514507760000
2017.10.23,39.05,471274960000
2017.10.24,39.27,407013160000
2017.10.25,39.10,408617680000
2017.10.26,39.36,337121960000
2017.10.27,40.76,1044144200000
2017.10.30,41.70,697126640000
2017.10.31,42.24,661967080000
2017.11.01,41.84,550530400000
2017.11.02,43.43,781934640000
2017.11.03,43.11,915579360000
2017.11.06,43.58,827781280000
2017.11.07,43.70,580501200000
2017.11.08,44.06,579761760000
2017.11.09,43.97,717067840000
2017.11.10,43.67,465686200000
2017.11.13,43.49,398348120000
2017.11.14,42.84,563781720000
2017.11.15,42.27,641859080000
